GeneID,logFC,PValue,FDR,Regulation,PathwayID,PathwayName,PathwaySource
DPP4,1.162753773,4.12e-21,4.12e-21,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
EDNRB,1.083091612,0.001871923,0.001871923,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
EPHB3,0.853560727,0.000225131,0.000225131,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
F10,0.784609321,3.17e-06,3.17e-06,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
F3,1.08180388,2.22e-83,2.22e-83,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
FAM107A,4.81982213,0.02111992,0.02111992,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
FBLN1,0.811822489,3.27e-41,3.27e-41,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
FBN2,1.662555232,1.25e-269,1.25e-269,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
FGFR4,1.665124774,1.34e-09,1.34e-09,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
FLRT3,0.760387886,0.021014214,0.021014214,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
FMNL1,0.734992721,0.008347826,0.008347826,Up,GOBP_CELL_MIGRATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION,GOBP_CELL_MIGRATION.v2026.1.Hs.gmt
