GeneID,logFC,PValue,FDR
LHFPL2,0.698492714,0.000114349,0.000114349
TMEM176B,5.456314326,0.000104481,0.000104481
PLAAT4,2.645736428,6.83e-05,6.83e-05
CYFIP1,6.528624577,6.77e-05,6.77e-05
SLC12A7-2,1.180953721,6.59e-05,6.59e-05
PAQR5,0.622346689,6.55e-05,6.55e-05
RASSF4,0.909064844,5.67e-05,5.67e-05
SCN3A,2.010575329,5.21e-05,5.21e-05
ANK1,0.884740102,4.71e-05,4.71e-05
PYROXD2,0.783204419,4.26e-05,4.26e-05
MFHAS1-2,1.009290938,4.14e-05,4.14e-05
LMF1,0.679655171,3.7e-05,3.7e-05
ABHD8,0.743360545,3.53e-05,3.53e-05
HLA-C-2,1.051982257,3.41e-05,3.41e-05
IL15RA,0.683710432,3.11e-05,3.11e-05
WNK4,0.6136792,2.59e-05,2.59e-05
SYNGAP1-2,0.814604892,2.42e-05,2.42e-05
CASP1,0.736931565,2.15e-05,2.15e-05
LZTS3,0.995077878,2.1e-05,2.1e-05
CCDC149,0.60011926,2.09e-05,2.09e-05
SYTL2,0.632341057,2.09e-05,2.09e-05
FAM86B1,0.94093207,2.05e-05,2.05e-05
MX1,1.379164646,2e-05,2e-05
SOD3,1.196255906,1.94e-05,1.94e-05
DGLUCY,0.653013609,1.92e-05,1.92e-05
MAOA,1.324146234,1.77e-05,1.77e-05
INMT,0.677847007,1.33e-05,1.33e-05
TCEA3-2,0.86454322,1.31e-05,1.31e-05
ECHDC2,1.114036295,1.24e-05,1.24e-05
KDM6B,0.615503776,1.17e-05,1.17e-05
TBXAS1,0.627327239,9.84e-06,9.84e-06
GAA,0.609427457,9.74e-06,9.74e-06
TRIM47,1.058859314,9.71e-06,9.71e-06
IFT140,0.685771381,9.36e-06,9.36e-06
ECH1-2,0.598706334,8.71e-06,8.71e-06
NEDD4L,0.632853678,8.51e-06,8.51e-06
ALS2CL,1.006078087,7.89e-06,7.89e-06
PSEN2,0.646215101,6.65e-06,6.65e-06
LRRK1,0.662889699,6.56e-06,6.56e-06
BAIAP2-DT,0.692464798,6.27e-06,6.27e-06
RASL11A,1.602235215,6.18e-06,6.18e-06
ECH1,0.612161602,5.67e-06,5.67e-06
PALM,1.02651532,5.46e-06,5.46e-06
SLC25A29,0.789103355,5.34e-06,5.34e-06
NPAS2,0.617452953,4.95e-06,4.95e-06
APOBEC3G,1.557211195,4.76e-06,4.76e-06
LRRC2,0.848512052,4.7e-06,4.7e-06
SREBF1,0.59228177,4.69e-06,4.69e-06
GAA-2,0.603878096,4.52e-06,4.52e-06
PPP1R12B,0.74429542,4.34e-06,4.34e-06
CLEC3B,1.774800665,4.2e-06,4.2e-06
PUF60-2,7.061214915,4.12e-06,4.12e-06
ASIC1,1.022153037,4.09e-06,4.09e-06
SLC39A11,0.631487681,3.94e-06,3.94e-06
DBNDD1,0.691700629,3.67e-06,3.67e-06
RAB29,0.685876089,3.51e-06,3.51e-06
TRIB3,0.637819405,3.37e-06,3.37e-06
BLTP3A,0.983847941,3.3e-06,3.3e-06
CC2D1A,0.77358907,3.19e-06,3.19e-06
CC2D1A-2,0.77358907,3.19e-06,3.19e-06
SLC45A1,1.422678023,2.55e-06,2.55e-06
PARP12,0.610073718,2.46e-06,2.46e-06
MAP3K14,0.985567699,1.73e-06,1.73e-06
PIEZO2,1.676086138,1.71e-06,1.71e-06
RAMP1,0.816374747,1.66e-06,1.66e-06
RAB7B,0.704585564,1.34e-06,1.34e-06
TPD52L1,2.118951161,1.32e-06,1.32e-06
NUAK2,0.677021039,1.22e-06,1.22e-06
GLIS3,0.659392492,1.11e-06,1.11e-06
PRKAR1B,0.7193981,1.08e-06,1.08e-06
SELENBP1,0.733280845,1.02e-06,1.02e-06
KCNJ2,1.884657659,1.01e-06,1.01e-06
NACAD,0.848924939,9.17e-07,9.17e-07
DPF3,0.694689042,8.52e-07,8.52e-07
PSMB9,2.37122138,6.69e-07,6.69e-07
PSMB9-4,2.37122138,6.69e-07,6.69e-07
PSMB9-5,2.37122138,6.69e-07,6.69e-07
PSMB9-7,2.37122138,6.69e-07,6.69e-07
FAM124A,2.646767616,5.3e-07,5.3e-07
FHL3,0.660558448,5.01e-07,5.01e-07
MINDY1,1.014914955,5.01e-07,5.01e-07
MEGF6,0.630685819,4.87e-07,4.87e-07
JAZF1,0.621007185,4.48e-07,4.48e-07
CPZ,2.00446201,3.89e-07,3.89e-07
TAPBPL,0.868093045,3.79e-07,3.79e-07
LRIG3,0.919264113,3.59e-07,3.59e-07
SHFL,0.720977461,3.3e-07,3.3e-07
ANKRD33B,0.839983219,2.67e-07,2.67e-07
KCNE4,0.764203958,2.29e-07,2.29e-07
BTN3A3,0.672507507,2.09e-07,2.09e-07
LPCAT1,0.862447147,1.9e-07,1.9e-07
PDGFRL,1.145535702,1.52e-07,1.52e-07
MAP2,1.474858679,1.45e-07,1.45e-07
HELZ2,0.659191083,1.29e-07,1.29e-07
ELOVL2,0.819933821,1.19e-07,1.19e-07
FGL2,1.676858987,1.09e-07,1.09e-07
SLC12A8,1.140273183,1.02e-07,1.02e-07
SYNGR1,0.599678379,8.09e-08,8.09e-08
RHOBTB1,0.625616087,6.91e-08,6.91e-08
CEP250,0.638475518,5.5e-08,5.5e-08
SERPINB9,0.938623947,5.35e-08,5.35e-08
HK2,0.724544904,3.79e-08,3.79e-08
HLA-A-7,0.777436577,3.12e-08,3.12e-08
SBNO2-2,1.378815418,2.54e-08,2.54e-08
PDZRN3,0.832785676,2.37e-08,2.37e-08
