GeneID,logFC,PValue,FDR
KLHL29,1.108160084,2.78e-17,2.78e-17
ALPL,2.075506984,2.08e-17,2.08e-17
STAT2,0.639663527,1.72e-17,1.72e-17
SLC15A3,1.759525113,1.67e-17,1.67e-17
SHISAL1,1.140612667,1.66e-17,1.66e-17
HLA-A-3,0.696572119,9.74e-18,9.74e-18
MRGPRF,0.7087442,6.39e-18,6.39e-18
HLA-B-5,0.823571829,5.2e-18,5.2e-18
LDAF1,1.000393257,4.76e-18,4.76e-18
TXNIP,0.755614393,2.64e-18,2.64e-18
NAV2,0.775008483,6.36e-19,6.36e-19
LRIG1,0.880813865,5.55e-19,5.55e-19
CORIN,1.154872495,5.2e-19,5.2e-19
CYTH3,0.670840808,4.65e-19,4.65e-19
CYB5A,0.94055181,4.23e-19,4.23e-19
ST6GALNAC6,0.727273574,3.97e-19,3.97e-19
KSR1,0.93088089,3.3e-19,3.3e-19
PLEKHA4,1.079818217,1.65e-19,1.65e-19
IMPA2,1.43001486,8.59e-20,8.59e-20
ARHGAP28,2.256545067,4.93e-20,4.93e-20
DEPP1,2.015887484,4.16e-20,4.16e-20
HEBP1,0.660106738,3.76e-20,3.76e-20
IRF1,0.899525804,1.59e-20,1.59e-20
ALDH2,0.763090306,6.52e-21,6.52e-21
RDH10,0.911508698,3.73e-21,3.73e-21
PKDCC,0.993025291,2.34e-21,2.34e-21
HLA-C-5,0.616253895,1.58e-21,1.58e-21
FIBIN,1.232123581,9.81e-22,9.81e-22
FHL1,0.655670825,7.36e-22,7.36e-22
TOX,1.440815577,2.9e-22,2.9e-22
ASS1,1.243121672,1.64e-22,1.64e-22
APOL1,2.262778755,4.21e-23,4.21e-23
RAB11FIP1,0.98717756,2.51e-23,2.51e-23
SHANK2,1.242198789,1.98e-23,1.98e-23
