ACO2,2871,2618,2926,2831,3288,2620,2354,2294,2509,2078
ACO2P1,0,0,0,0,0,0,0,0,0,0
ACO2P2,0,0,0,0,0,0,0,3,0,1
ACOD1,0,0,0,0,0,0,0,0,0,0
ACOT1,139,116,387,184,252,116,206,99,75,65
ACOT11,243,205,233,169,227,216,218,203,159,166
ACOT12,2,4,1,3,0,1,1,2,0,3
ACOT13,363,448,341,382,434,416,366,355,331,331
ACOT2,509,419,635,444,565,404,604,557,548,482
ACOT6,0,0,0,0,0,0,0,0,0,0
ACOT7,1467,1201,1615,1393,1975,1247,1217,1352,1412,1015
ACOT8,511,482,520,523,482,382,428,464,419,380
ACOT9,2682,2261,3549,3154,3677,2845,2738,2481,3513,2363
ACOX1,1385,1214,941,1024,1372,1176,1017,995,1195,955
ACOX2,342,414,281,283,315,287,289,273,191,340
ACOX3,721,609,762,728,964,849,615,651,615,507
ACOXL,0,0,0,0,0,0,0,0,0,0
ACOXL-AS1,3,0,0,3,0,1,2,0,0,0
ACP1,2203,2171,2639,2943,2839,2368,2004,2078,2031,1719
ACP2,1611,1390,1367,1263,1662,1124,1317,1095,1531,1391
ACP3,4,6,5,8,4,13,0,6,0,0
ACP4,0,0,0,0,0,0,0,0,0,0
ACP5,0,0,0,0,0,0,42,15,0,3
ACP6,169,113,149,128,144,98,43,82,96,89
ACP7,16,47,84,117,15,8,27,14,40,15
ACR,0,0,1,1,1,0,0,0,0,0
ACRBP,6,5,2,5,1,3,4,5,6,2
ACRP1,0,0,0,0,0,0,0,0,0,1
ACRV1,1,1,4,3,4,2,1,9,2,4
ACSBG1,133,202,171,256,225,268,124,182,129,86
ACSBG2,1,0,0,4,5,2,0,2,1,2
ACSF2,39,55,56,57,21,37,34,75,37,50
ACSF3,957,735,854,766,904,735,583,588,681,584
ACSL1,1426,1303,1380,1492,1910,1426,1169,1241,1522,1010
ACSL3,3106,2913,3884,3395,4254,3325,3055,3097,3103,2585
ACSL3-AS1,0,0,4,0,1,0,0,0,0,0
ACSL3P1,0,0,0,0,0,0,0,0,0,0
ACSL4,10389,8971,9951,10321,10256,8356,7570,6400,8463,6528
ACSL5,1,0,2,2,0,2,1,0,0,0
ACSL6,4,3,0,2,2,3,0,1,3,0
ACSM1,0,0,0,0,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0,0,0
ACSM3,29,33,19,31,49,54,32,40,27,23
ACSM4,0,0,0,0,0,0,0,0,0,0
ACSM5,0,1,3,0,0,0,0,0,1,0
ACSM5P1,0,0,0,0,0,0,0,0,0,0
ACSM6,0,0,0,0,0,0,0,0,0,0
ACSS1,51,56,29,61,48,67,45,33,28,6
ACSS2,687,756,542,555,630,586,756,592,542,493
ACSS3,277,199,234,207,124,200,129,164,155,189
ACTA1,3,0,0,0,0,0,0,0,0,1
ACTA2,8007,592,24135,883,3576,1144,4548,1458,7416,2824
ACTA2-AS1,60,11,109,9,29,9,25,15,32,20
ACTB,286542,245793,412542,310790,379756,269161,292956,252623,324022,236145
ACTBL2,16,5,4,3,27,17,32,19,5,15
ACTBP1,0,0,1,0,0,0,0,0,0,0
ACTBP11,1,0,1,3,3,3,0,2,2,2
ACTBP12,0,0,0,0,0,0,0,0,0,0
ACTBP14,0,0,0,0,0,0,0,1,0,0
ACTBP15,0,0,0,0,0,0,0,0,0,0
ACTBP16,0,0,0,0,0,0,0,0,0,0
ACTBP2,24,13,36,31,33,16,27,20,24,21
ACTBP4,0,0,0,0,0,0,0,0,0,0
ACTBP6,0,0,0,0,0,0,0,0,0,0
ACTBP7,0,3,0,2,0,3,2,0,3,0
ACTBP8,0,0,0,0,0,0,0,0,0,0
ACTBP9,0,0,0,0,0,0,0,0,0,0
ACTC1,165,391,8,40,17,43,99,171,48,65
ACTE1P,0,0,0,0,0,0,0,0,0,0
ACTG1,155406,124404,178546,150351,184634,130720,128988,112009,158562,102776
ACTG1P1,1,2,1,0,0,0,3,0,2,0
ACTG1P10,4,5,2,1,4,0,5,0,4,4
ACTG1P11,1,0,0,0,0,0,0,0,1,1
ACTG1P12,0,0,0,1,0,0,0,0,0,0
ACTG1P13,0,0,0,0,0,0,0,0,0,0
ACTG1P14,6,1,2,3,3,0,2,3,2,0
ACTG1P15,2,3,2,1,3,5,0,1,0,0
ACTG1P16,0,2,0,0,0,0,0,0,0,0
ACTG1P17,0,0,0,0,1,0,0,0,0,3
ACTG1P18,0,0,0,0,0,0,0,0,0,0
ACTG1P19,0,0,0,0,0,0,0,0,0,0
ACTG1P2,1,0,0,0,0,0,0,0,1,1
ACTG1P20,3,4,5,10,10,5,3,1,4,4
ACTG1P21,0,0,0,0,0,0,0,0,0,0
ACTG1P22,0,0,0,0,0,0,0,0,0,0
ACTG1P23,0,0,0,0,0,0,0,0,0,0
ACTG1P24,1,0,0,0,0,0,0,0,0,0
ACTG1P25,5,2,1,2,3,2,1,4,1,2
ACTG1P3,1,2,2,3,0,3,1,1,0,1
ACTG1P4,0,0,0,0,0,3,0,0,2,0
ACTG1P9,2,0,1,1,0,1,1,0,0,0
ACTG2,308,11,859,8,53,5,126,9,42,8
ACTL11P,0,0,0,0,0,0,0,0,0,0
ACTL6A,2203,2288,2657,3219,2945,2940,2232,2556,2341,1992
ACTL6B,0,0,0,0,0,0,0,0,0,0
ACTL7A,0,0,0,0,2,0,0,0,0,0
ACTL7B,0,1,0,0,0,0,0,0,0,0
ACTL8,2,12,1,18,3,12,2,2,2,1
ACTL9,0,0,0,0,0,0,0,0,0,0
ACTMAP,249,254,200,243,264,245,206,254,147,196
ACTN1,4989,2916,10336,4667,6666,3635,4446,2800,5840,3949
ACTN1-DT,0,1,2,0,3,0,0,0,0,0
ACTN2,13,1,1,1,3,2,3,0,6,4
ACTN3,15,27,4,6,4,2,12,12,3,6
ACTN4,29884,22072,39534,29030,35064,25673,26183,23612,31602,19392
ACTN4P1,3,1,4,3,2,3,1,1,2,2
ACTN4P2,0,0,0,0,0,0,0,0,0,0
ACTP1,0,0,0,0,0,0,0,0,0,0
ACTR10,2544,2751,2704,3136,3085,2886,2663,2726,2742,2490
ACTR1A,7931,8049,7735,8163,9033,7590,6993,6948,7329,5584
ACTR1AP1,2,2,2,1,3,4,1,2,3,0
ACTR1B,2453,2336,2764,2272,2706,2302,2525,2061,2147,2001
ACTR2,1,2,47,2,3,1,15,21,13,6
ACTR2P1,1,1,0,1,0,1,0,0,2,0
ACTR2P2,15,13,16,13,18,6,6,8,12,19
ACTR3,17665,14995,26463,19439,24513,18150,16428,14976,22586,14812
ACTR3-AS1,2,2,1,0,1,1,0,0,1,4
ACTR3B,250,450,202,321,318,297,239,248,161,187
ACTR3BP1,0,0,0,0,0,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0,0,0,0,0
ACTR3BP3,0,0,0,0,0,0,0,0,0,0
ACTR3BP4,0,0,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0,0,0
ACTR3BP6,0,0,0,0,0,0,0,0,0,0
ACTR3BP7,0,0,0,0,0,0,0,0,0,0
ACTR3C,22,1,3,4,12,0,5,1,31,14
ACTR3P2,1,0,0,0,0,0,0,0,0,0
ACTR3P3,0,0,0,0,0,0,0,0,0,0
ACTR5,213,221,221,326,291,277,197,199,242,175
ACTR6,673,627,640,612,643,549,579,482,517,529
ACTR6P1,0,0,0,0,0,0,0,0,0,0
ACTR8,1414,1386,1066,1120,1515,1330,1198,1222,1219,1040
ACTRT1P1,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
ACTRT3,162,168,176,157,166,147,158,117,176,127
ACVR1,2729,2998,3311,3005,3682,2971,2777,2574,2731,2622
ACVR1B,852,1117,1105,1264,1209,1173,1045,991,882,994
ACVR1C,50,52,153,84,47,38,43,38,54,23
ACVR2A,455,470,281,247,429,284,353,275,396,506
ACVR2B,149,130,139,111,138,98,108,100,94,80
ACVR2B-AS1,8,5,2,6,2,5,2,4,9,8
ACVRL1,200,682,318,558,339,461,702,619,141,480
ACY1,414,450,496,506,539,493,462,489,283,472
ACY3,0,0,0,0,1,0,0,0,0,0
ACYP1,195,205,243,248,290,275,146,139,143,138
ACYP2,80,97,91,79,104,98,92,87,95,59
ADA,375,692,239,513,251,704,502,421,173,282
ADA2,0,1,0,0,1,5,0,0,2,1
ADAD1,1,0,0,0,0,0,0,0,0,0
ADAD1P1,0,0,2,0,1,0,0,1,0,0
ADAD1P2,0,0,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,0,0,0,0
ADAL,225,255,234,275,299,282,269,250,202,172
ADAM10,10458,14730,8592,12078,9067,9427,12738,12390,8541,10604
ADAM11,7,12,11,7,7,10,11,6,9,5
ADAM12,11572,13868,21404,26545,35576,29630,24005,18687,18295,24209
ADAM15,1855,1681,1575,1757,1779,1747,1711,1726,1574,1378
ADAM17,1421,1401,1409,1318,1666,1354,1176,1203,1382,1372
ADAM18,0,0,0,0,0,0,0,0,0,0
ADAM19,13776,6621,23683,7126,24512,6488,8005,7053,23039,9797
ADAM1A,0,0,0,0,0,0,0,0,0,0
ADAM1B,0,3,3,9,2,2,3,3,0,1
ADAM2,0,0,0,0,0,0,0,0,0,0
ADAM20,1,4,1,3,2,0,3,2,2,1
ADAM20P1,4,8,5,2,8,2,3,1,1,1
ADAM20P2,0,0,0,0,0,0,0,0,0,0
ADAM20P3,0,0,0,0,0,0,0,0,0,0
ADAM21,2,6,4,12,4,4,5,10,2,4
ADAM21P1,0,0,0,0,0,0,0,0,0,0
ADAM22,36,18,21,17,13,16,10,16,16,18
ADAM23,1323,453,634,311,828,379,375,419,217,108
ADAM24P,0,0,0,0,0,0,0,0,0,0
ADAM28,20,9,4,12,8,7,10,4,4,8
ADAM29,0,0,0,0,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0
ADAM32,49,61,18,56,58,59,51,41,39,41
ADAM33,1102,1247,299,1012,1057,920,1188,1461,234,313
ADAM3A,0,0,0,0,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0
ADAM7,0,0,0,0,1,0,0,0,0,0
ADAM7-AS1,0,0,0,0,0,0,0,0,0,0
ADAM7-AS2,0,0,0,0,0,0,0,0,0,0
ADAM8,53,24,34,28,33,16,21,24,68,25
ADAM9,20892,17948,26203,17142,24631,16857,17875,16044,18055,15870
ADAMDEC1,0,0,0,0,0,0,1,0,0,0
ADAMTS1,27947,34160,38833,22303,38764,31525,35893,18403,21787,25964
ADAMTS10,510,596,420,379,517,502,520,476,210,836
ADAMTS12,3050,3861,5857,4347,4574,2919,4322,4234,7913,6630
ADAMTS13,108,75,43,36,74,63,86,79,42,113
ADAMTS14,1633,1718,249,459,1330,764,1434,1497,496,932
