"GeneID","logFC","AveExpr","t","PValue","FDR","B","Regulation","Mean_Group1","Mean_Group2","Treatment_I6_I6_1","Treatment_I6_I6_2","Treatment_I6_I6_3","Control_Con_1","Control_Con_2","Control_Con_3"
"ANGPT1",-1.1750901299922,11.060428732635,-68.0048884015824,7.05831097991155e-08,4.02016842768875e-07,8.32023721132571,"DOWN",15.4092418295279,17.0876617984683,15.4126492298949,15.5290492096029,15.286027049086,17.1685643976859,17.0052188218804,17.0892021758388
"C1RL",1.11808291472232,12.6616113427229,5.05916468913775,0.00541204002619608,0.00875280547446526,-5.37399590016372,"UP",11.8365390767758,10.1561285467192,11.8372317289042,11.7814334858167,11.8909520156065,9.72280411650269,10.1951617862143,10.5504197374405
"NPC2",1.09017570416306,13.2258650457666,15.0876571599514,5.4912374343106e-05,0.000143870420778938,0.190492580182259,"UP",18.1287008442974,18.95383145858,18.1786113635589,18.0782081523882,18.129283016945,18.9660801195224,18.7445513766537,19.1508628795639
"DKK1",-1.07497587651712,11.7457104025461,-11.8401808945616,0.000157675031115473,0.00037555325592958,-1.0963306559748,"DOWN",15.8759740740683,15.3764888095394,15.807551145831,15.9469702222874,15.8734008540864,15.3265664186752,15.3770579817296,15.4258420282135
"ALB",-1.06309402032447,21.9661597660459,-7.94714792981649,0.000865296625075011,0.00166696849830627,-3.16629652823125,"DOWN",15.4054546298322,14.4824355635371,15.379429136696,15.4056101830796,15.4313245697209,14.1820606450258,14.5516662104362,14.7135798351492
"MFGE8",-1.04477605804378,11.3456357991046,-325.970293917872,6.67969831498948e-11,1.09380059907953e-09,16.4805603826008,"DOWN",13.8810367566171,13.8701759411477,13.6765301170106,14.0763396295557,13.890240523285,13.8713181091498,13.7992816215219,13.9399280927715
"HPX",-1.03754698336595,15.7184964994205,-4.69062921154281,0.0072401404417423,0.0112911714031933,-5.72075025229547,"DOWN",11.9011774792385,10.5359000675304,11.9550849956361,12.3617765824417,11.3866708596376,10.7297481844825,10.3329875853193,10.5449644327892
"CPA4",-1.00749360277907,13.5434964208875,-3.94064631325272,0.0138148409358099,0.0205652745748989,-6.48488673361865,"DOWN",16.5636416820187,15.1682999587603,16.5636342348373,16.5636416820316,16.5636491291873,15.1682803688587,15.168299958849,15.1683195485733
"CTSD",-0.977198809863005,15.8638675604611,-4.02788262178219,0.0127634670109296,0.019442025330602,-6.39176339801762,"DOWN",9.28896955420366,12.3293338573059,9.29012255131524,9.28781624985311,9.28896986144265,12.3291936882145,12.3294740218579,12.3293338618452
"S100A13",0.927539282809825,11.9342048095434,5.32322508358866,0.00443596226970292,0.00770393618419576,-5.13627245994728,"UP",14.8498860897875,15.0127282532623,14.831411166362,15.154252468052,14.5639946349485,14.9612597584013,15.0061331919626,15.0707918094231
"LGALS1",-0.927292572790199,15.1640968418788,-8.48408165569134,0.000657048592817916,0.00130414190392647,-2.83243678918897,"DOWN",13.2214677966413,15.0635359579417,13.2215433201851,13.2213922717795,13.2214677979591,15.4239595559674,14.6821222529762,15.0845260648817
"SERPINF2",-0.92703435964968,12.5108592456763,-5.30239124888086,0.00450486360087036,0.00770393618419576,-5.15471569151123,"DOWN",10.7074178684921,11.9821320761443,9.84674559002838,10.6916824606526,11.5838255547953,11.9571963797028,11.7249273323344,12.2642725163955
"PPIB",0.923019066295099,14.9439450966846,6.15595626057493,0.00248305061032857,0.00451777263823671,-4.43979598854962,"UP",13.8646139318269,14.1164031901182,13.934510972935,13.5439863712574,14.1153444512882,14.1165998219588,14.0871313015405,14.1454784468552
"HLA-G",0.918862004487826,12.6770491167617,27.6993994497241,3.78625396600419e-06,1.417140770133e-05,3.45883443837334,"UP",8.75157688473282,10.244417088061,8.74990293908755,8.75157753190359,8.75325018320732,10.2472570264984,10.1320755342083,10.3539187034762
"NPTX1",0.906805921064327,11.143280644516,14.6990716441738,6.15448510652354e-05,0.000158085793912664,0.0512824798135192,"UP",13.6939753488148,13.6945428913895,13.6811944800784,13.8131298276853,13.5876017386806,13.6945428920735,13.6945973007506,13.6944884813444
"IGFBP3",-0.896136692305499,15.4781276224157,-20.276010989721,1.50053947950111e-05,4.68025409082489e-05,1.77542346546211,"DOWN",0,10.4483029617733,0,0,0,10.5472994377458,11.0646619392346,9.73294750833941
"COL6A3",0.893460725812503,15.3031704816838,279.557042212853,1.3218647907203e-10,1.84461968105604e-09,15.7415602915255,"UP",15.3950097088922,15.9932276843147,15.3455369240567,15.3886160410161,15.4508761616039,16.0171977175247,15.265911670889,16.6965736645302
"CLEC3B",-0.874925641103896,12.8882642480437,-273.674061809544,1.45288926360183e-10,1.84461968105604e-09,15.6372601169492,"DOWN",11.2082224642875,12.2831983408047,11.3525014391154,11.0273323974591,11.2448335562881,12.2831983456438,12.28334306,12.2830536167702
"GPC1",0.862441476104729,12.8167838898047,269.760607440087,1.54891728943637e-10,1.84461968105604e-09,15.5663823684865,"UP",15.0359214048288,15.2594905397335,15.0890780071722,15.3374093563967,14.6812768509174,15.210313669352,15.3081150138631,15.2600429359854
"SPARC",-0.825130614282621,18.5412661514387,-7.18636784030826,0.00131667437341254,0.00246406204167204,-3.67445568597765,"DOWN",18.268213520312,17.4964388514272,18.2388198798782,18.2684117856408,18.2974088954169,17.8567841637898,17.4570120776485,17.1755203128431
"C1S",0.801888763585389,13.315701521706,36.5432809415516,1.11030516153996e-06,4.84833253872451e-06,4.95837107897298,"UP",15.4743904618897,15.8961209528815,15.0901289642373,15.548939279157,15.7841031422748,15.9206064027924,15.8714961979597,15.8962602578925
"IGFBP5",0.771774668884806,17.8823261858696,4.10015688967675,0.0119632322459086,0.0184374520495768,-6.31547755692214,"UP",11.1073743582648,0,10.5438631609342,11.1858355805422,11.5924243333181,0,0,0
"OLFML3",0.765791509350729,12.7881934511742,8.17789816314135,0.000767219843788852,0.00150008656024387,-3.02046872322037,"UP",15.3242082212319,15.7184401435499,15.2734022422205,15.3744248242585,15.3247975972168,15.941852293443,15.7688382079753,15.4446299292314
"CD44",0.715673539691199,17.8218554500211,12.1794164744377,0.000139515681587612,0.000338454709036614,-0.947178455786409,"UP",15.2384618507247,14.6028472252587,15.2083639267801,15.2386696967501,15.268351928644,14.6030902183447,14.6351569379403,14.570294519491
"THBS1",-0.702844737369386,14.9101694827775,-5.27802569146029,0.00458707650662037,0.00770393618419576,-5.17635235132422,"DOWN",15.1719742510967,15.7314506252982,15.1719742511849,15.1719937910814,15.1719547110237,15.7328431331322,15.8084061686453,15.653102574117
"C3",-0.702283502049708,11.422097561349,-10.5757755526198,0.000256677852509366,0.000579737908253914,-1.68990480838063,"DOWN",0,11.3709723670645,0,0,0,11.2915908964549,10.3136653371089,12.5076608676298
"COL4A1",-0.688926676299479,15.397124780633,-215.560338692908,4.1964279596138e-10,4.5811005225784e-09,14.4402850153932,"DOWN",9.4251484964569,0,9.42409908748398,9.4251487508401,9.42619765104661,0,0,0
"CFH",0.663894949985634,12.3957773151879,207.608978224732,4.95918598715502e-10,4.9973335716716e-09,14.2480730554845,"UP",15.0628634398388,16.7611182484697,15.0826813029504,15.3468322654521,14.7590767511139,16.8561701746851,16.7632512767212,16.6639332940029
"GRN",0.641471420336355,15.9776437372228,200.712949188784,5.76235419449066e-10,5.39191713913054e-09,14.0745926953963,"UP",11.0709558103242,11.7732393123739,11.1887557287974,11.074248523347,10.949863178828,11.7733288056088,11.792875682405,11.7535134491077
"CLU",0.635614625466035,14.9206545379917,26.0415866331846,4.97396581593712e-06,1.80997089413268e-05,3.12526505053753,"UP",15.3752681555296,16.3524669653926,15.2765133860198,15.3774698260955,15.4718212544735,15.8856677784133,16.7380922596205,16.433640858144
"QSOX1",0.63309212623278,16.1811402608926,5.73234127190315,0.0033076365849124,0.00593562181676062,-4.7844690190876,"UP",14.9145346263605,14.9084864453168,14.9145346264865,14.9145112690184,14.9145579835765,14.9085099006581,14.908486445444,14.9084629898484
"SRPX",-0.628890067385484,10.0107430280772,-5.70717838154434,0.00336625036126085,0.00595917293682664,-4.80555315024582,"DOWN",16.298379447391,15.6569080270546,16.2983883978024,16.2983794474095,16.298370496961,15.6569080270997,15.6569219889664,15.6568940650979
"LOXL2",-0.601729443380425,10.6730549923178,-187.114719552464,7.87011236576213e-10,6.55612919486595e-09,13.7123100374071,"DOWN",21.5274820880746,21.4531348726464,21.5115553003081,21.543350483205,21.5275404807106,21.4371653421562,21.5465756368843,21.3756636388986
"HTRA1",-0.59092089860844,10.7431842101205,-183.861695340999,8.50795391700162e-10,6.55612919486595e-09,13.6213477865893,"DOWN",15.0526614424833,15.7415881187827,15.0526826671495,15.0526614425873,15.0526402177129,15.7415881188228,15.7416012847776,15.7415749527479
"COL18A1",0.588387631468997,12.7831109440454,184.042675668601,8.47084146773712e-10,6.55612919486595e-09,13.6264545037949,"UP",16.9533805043433,16.6374951742595,16.8920209690754,16.9437167083404,17.0244038356139,16.6375022497913,16.6374951742711,16.6374880987161
