Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
STAT3,1.13981,25,201,NCI-H358
JUN,1.13742,18,201,PC-3
NFKB1,1.13024,54,201,L-1236
TP53,1.12973,6,201,MCF-7
STAT3,1.12913,81,201,T-47D
JUN,1.11925,31,201,MCF-7
STAT3,1.11552,61,201,MCF 10A
TP53,1.11455,7,201,MCF-7
JUN,1.11169,12,201,K-562
JUN,1.10913,13,201,MCF-7
TP53,1.10736,23,201,Saos-2
NFKB1,1.10507,1,201,CD4+ T cells
TP53,1.10507,1,201,Saos-2
STAT3,1.0992,78,201,MCF 10A
TP53,1.09853,4,201,hESC derived ectodermal cells
STAT3,1.09637,18,201,Th2 Cells
TP53,1.09637,3,201,U2OS
TP53,1.09207,1,201,MCF-7
TP53,1.09127,48,201,Saos-2
JUN,1.09024,21,201,NCI-H660
SNAI2,1.09018,34,201,Keratinocytes
JUN,1.0901,65,201,HAEC
JUN,1.08953,96,201,GM07492
STAT3,1.08682,56,201,T-47D
SNAI2,1.08548,31,201,Keratinocytes
TP53,1.08357,3,201,U2OS
TP53,1.08147,12,201,Keratinocytes
SNAI2,1.07895,60,201,Keratinocytes
JUN,1.07719,69,201,Fibroblasts
STAT3,1.07709,11,201,Anaplastic large cell lymphoma
STAT3,1.07687,25,201,MDA-MB-231
STAT3,1.07227,79,201,MCF-7
SNAI2,1.06533,45,201,Keratinocytes
TP53,1.06208,5,201,MCF-7
TP53,1.06087,2,201,Keratinocytes
JUN,1.05648,22,201,MCF-7
STAT3,1.0561,76,201,T-47D
JUN,1.05484,1,201,A549
TP53,1.05484,1,201,K-562
TCF4,1.04888,2,201,Hepatocellular carcinoma
STAT3,1.04774,52,201,T-47D
STAT3,1.04691,42,201,HCC1187
TP53,1.04677,28,201,SW 480
STAT3,1.04335,32,201,HeLa
STAT3,1.04309,119,201,T-47D
TP53,1.04299,1,201,MCF-7
STAT3,1.0384,117,201,T-47D
TP53,1.036,5,201,293
STAT3,1.02997,24,201,MDA-MB-231
JUN,1.02828,22,201,NCI-H660
TP53,1.02813,7,201,MOLM-13
STAT3,1.02747,122,201,T-47D
STAT3,1.02707,29,201,MCF-7
STAT3,1.02677,37,201,T-47D
SNAI2,1.02457,25,201,BT-549
STAT3,1.02346,126,201,T-47D
TP53,1.02006,1,201,MCF 10A
STAT3,1.01978,39,201,T-47D
TP53,1.01913,12,201,Dermal fibroblast
JUN,1.01879,149,201,MDA-MB-231
STAT3,1.01803,99,201,T-47D
JUN,1.01055,14,201,A549
SNAI2,1.00755,123,201,Keratinocytes
JUN,1.00615,147,201,MDA-MB-231
SNAI2,1.005,11,201,MCF-7
STAT3,1.00413,117,201,HCC70
STAT3,0.998128,122,201,T-47D
JUN,0.998128,2,201,hESC H1
STAT3,0.995622,47,201,SUM 159PT
JUN,0.995189,142,201,MDA-MB-231
STAT3,0.989766,28,201,HCC70
SNAI2,0.988918,112,201,Keratinocytes
SNAI2,0.988166,16,201,BT-549
SNAI2,0.988119,138,201,Keratinocytes
JUN,0.986542,141,201,MDA-MB-231
TP53,0.98518,18,201,HPAEC
STAT3,0.9839,29,201,FaDu
JUN,0.981938,15,201,CAR-T cells
STAT3,0.981419,120,201,T-47D
STAT3,0.981072,107,201,T-47D
JUN,0.980911,136,201,MDA-MB-231
STAT3,0.979415,121,201,T-47D
JUN,0.978832,60,201,Melanoma cell line
SNAI2,0.977485,139,201,Keratinocytes
STAT3,0.977114,84,201,MCF-7
TP53,0.977114,2,201,U2OS
TP53,0.977114,1,201,MCF 10A
JUN,0.974793,84,201,BJ-5ta
TP53,0.973698,15,201,MCF-7
TP53,0.973698,6,201,HPAEC
STAT3,0.971999,2,201,Breast cancer cells
JUN,0.967608,15,201,MCF-7
TP53,0.966936,137,201,SW 480
STAT3,0.966276,61,201,HCC70
JUN,0.965744,135,201,MDA-MB-231
SMAD3,0.965344,120,201,WHIM12
SNAI2,0.965141,28,201,BT-549
JUN,0.964926,10,201,A549
JUN,0.957333,135,201,MDA-MB-231
TP53,0.956968,3,201,T cells
JUN,0.953884,118,201,hTERT RPE-1
SNAI2,0.95206,2,201,SK-N-SH
JUN,0.950309,128,201,A549
JUN,0.948646,114,201,hTERT RPE-1
JUN,0.947127,128,201,MDA-MB-231
JUN,0.943992,3,201,Calu-3
STAT3,0.938425,12,201,Mac1
TP53,0.937635,2,201,Keratinocytes
TP53,0.937635,1,201,MCF 10A
STAT3,0.934489,6,201,TMD8
TP53,0.934489,6,201,MOLM-13
STAT3,0.932923,4,201,MCF-7
TP53,0.932923,2,201,U2OS
STAT3,0.932497,66,201,MCF-7
TP53,0.928505,113,201,SW 480
JUN,0.928259,112,201,hTERT RPE-1
TP53,0.928259,32,201,Hep G2
JUN,0.923094,84,201,BJ-5ta
TP53,0.919068,1,201,MCF-7
JUN,0.906092,112,201,hTERT RPE-1
TCF4,0.905897,111,201,GEN2.2
TP53,0.905618,4,201,SW 480
