GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
CDC42EP5,896,7.28,8.25,7.35,4.06,4.91,4.97,0.777700482,0.00681191,0.00681191,*
CDC42EP5-2,896,7.28,8.25,7.35,4.06,4.91,4.97,0.777700482,0.00681191,0.00681191,*
CDC42EP5-3,896,7.28,8.25,7.35,4.06,4.91,4.97,0.777700482,0.00681191,0.00681191,*
CDC42EP5-4,896,7.28,8.25,7.35,4.06,4.91,4.97,0.777700482,0.00681191,0.00681191,*
C2orf74-DT,2515,6.06,4.41,3.84,3.46,3.7,2.85,0.595406192,0.006767921,0.006767921,*
PLCD4,3039,0.47,0.36,0.49,0.15,0.14,0.2,1.778862513,0.006721376,0.006721376,Up
TOX-DT,3456,1.56,1.55,0.82,0.63,0.7,0.82,0.954515562,0.006710662,0.006710662,*
GBGT1,1958,2.7,3.39,2.66,1.63,1.62,2.1,0.788114011,0.006507796,0.006507796,*
RAD51-AS1,1156,0.66,0.8,1.53,0.2,0.2,0.27,2.235675454,0.006385428,0.006385428,Up
ZNF497,3025,2.24,1.63,2.64,0.92,1.67,1.3,0.816320583,0.006322224,0.006322224,*
SNAI3-AS1,2430,1.03,1.2,1.91,0.52,0.28,0.4,1.303315084,0.006229229,0.006229229,Up
DUSP16,6221,1.44,1.51,1.3,0.64,1.06,1.1,0.67185192,0.006119061,0.006119061,*
CREB5,8423,0.61,1.1,0.72,0.43,0.34,0.3,0.800750525,0.00607924,0.00607924,*
ENDOV,1385,9,10.3,8.71,7.83,6.37,5.49,0.588075021,0.005734498,0.005734498,*
KRBA1,3116,2.69,4.78,3.74,1.86,2.19,1.96,0.639711336,0.005673114,0.005673114,*
GRIK4,3951,1.19,0.83,0.88,0.48,0.49,0.5,0.948932727,0.005526116,0.005526116,*
PECR,1885,4.77,3.49,3.46,2.7,2.67,2.19,0.71222904,0.005487186,0.005487186,*
ITPR1,9719,0.51,0.38,0.5,0.26,0.33,0.16,0.959405016,0.005385203,0.005385203,*
TSPAN10,1847,2.61,3.32,3.19,1.94,1.79,1.76,0.79685313,0.005277435,0.005277435,*
WDR81-2,2509,2.3,2.31,0.66,1.33,0.99,0.9,1.384557693,0.005272185,0.005272185,Up
MDC1-2,6889,0.24,0.8,0.22,0.18,0.06,0.19,1.668212751,0.005261949,0.005261949,Up
DDR1,3892,3.27,2.41,1.61,1.74,1.47,1.22,0.772547226,0.00525808,0.00525808,*
SLC43A2,1511,4.61,3.36,4.5,2.4,2.5,3.23,0.750074262,0.005159816,0.005159816,*
GATAD2B,7475,1.29,3.13,2.86,1.25,1.8,1.59,0.720112145,0.005140694,0.005140694,*
NETO1,4048,1.12,1.6,1.13,0.8,0.6,0.79,0.881816268,0.005049708,0.005049708,*
B9D1,1086,10.66,9.24,10.18,6.82,8.04,5.01,0.659391272,0.005045427,0.005045427,*
NFASC,5869,1.12,1.14,0.97,0.48,0.92,0.92,0.625692007,0.004943903,0.004943903,*
FBXW9,1706,3.56,5.28,4,2.63,2.8,2.54,0.748445102,0.004894288,0.004894288,*
PCDHGB3,3480,1.39,1.16,1.28,0.66,0.85,0.49,0.973673329,0.004762607,0.004762607,*
BATF2,1953,1.14,0.7,0.77,0.29,0.21,0.43,1.629293832,0.004718212,0.004718212,Up
FAM53A,2603,1.05,0.82,0.83,0.27,0.51,0.47,1.338865064,0.004702852,0.004702852,Up
TSPAN15,1687,3.01,3.33,4.67,1.47,2.7,1.96,0.926990255,0.00464139,0.00464139,*
FLT3LG,944,4.25,5.54,4.13,2.96,2.42,2.04,1.031162707,0.004610565,0.004610565,Up
ENGASE,3768,2.34,1.95,2.76,1.58,1.71,1.77,0.648130629,0.004595885,0.004595885,*
SBF2-AS1,2708,2.58,2.42,1.91,1.79,0.5,0.43,1.183772672,0.00451009,0.00451009,Up
PCDHGA7,4678,1.89,1.84,2.38,1.58,1.4,1.32,0.62342438,0.004497629,0.004497629,*
GALNT16,3383,0.75,0.6,0.5,0.16,0.21,0.26,1.386488856,0.004385972,0.004385972,Up
MGAT3,4971,0.29,0.4,0.45,0.15,0.17,0.14,1.410196981,0.004359812,0.004359812,Up
