GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
GFRA1,7994,12.5,12.63,11.84,6.49,6.47,7.06,0.944841273,1.99E-40,1.99E-40,*
MAN1C1,2672,14.07,15.41,14.52,5.75,5.32,5.87,1.542674252,1.42E-40,1.42E-40,Up
FBLN1,2650,113.77,131.56,129.79,73.75,74.56,74.2,0.811822489,3.27E-41,3.27E-41,*
LIF,3894,11.64,10.49,10.15,3.81,3.59,3.33,1.650354688,3.18E-42,3.18E-42,Up
CCL2,741,79.19,79.98,81.66,25.35,25.8,29.03,1.653339896,1.48E-42,1.48E-42,Up
LMOD1,3927,38.12,38.72,38.82,21.21,23.04,22.02,0.870813185,7.58E-43,7.58E-43,*
CSF1,3921,21.28,23.36,23.1,10.7,10.44,11.05,1.122164592,3.34E-43,3.34E-43,Up
TNFRSF11B,2087,90.71,79.86,89.32,46.3,38.85,43.99,1.076447286,1.17E-43,1.17E-43,Up
SYNPO,5485,24.78,26.9,25.68,12.82,14.26,12.41,1.029916974,8.95E-44,8.95E-44,Up
HLA-B-4,1526,165.09,181.29,166.65,104.17,95.17,95.08,0.863927562,2.25E-44,2.25E-44,*
DHCR24,4233,110.82,112.37,110.79,70.84,77.03,72.63,0.666412516,2.18E-44,2.18E-44,*
ZFAND5,3103,111.62,103.71,111.2,67.41,64.73,69.75,0.763077891,1.22E-44,1.22E-44,*
FENDRR,4858,41.43,41.37,40.57,23.78,24.55,24.46,0.872158836,8.68E-45,8.68E-45,*
COL6A1,4212,494.3,551.81,531.87,342.46,353.77,354.73,0.653701238,6.74E-46,6.74E-46,*
SQOR,1701,52.48,48.54,48.21,22.47,20.82,22.48,1.249944262,2.48E-46,2.48E-46,Up
RNF213,15983,13.47,13.47,12.95,7.69,8.2,8.02,0.78692221,5.23E-47,5.23E-47,*
ANGPTL2,3803,39.03,40.74,39.62,22.33,21.83,21.76,0.901761749,5.15E-49,5.15E-49,*
NAV1,12714,24.85,24.64,24.57,15.46,16.33,15.8,0.712369375,1.51E-49,1.51E-49,*
EFEMP1,2661,126.74,112.52,122.75,69.47,69.75,72.33,0.842757216,8.58E-50,8.58E-50,*
SFRP1,4464,168.05,157.69,156.48,101.75,105.92,107.78,0.679862909,1.79E-50,1.79E-50,*
NTN4,3514,39.19,31.43,37.21,14.97,12.48,15.59,1.40213367,4.53E-51,4.53E-51,Up
ACTG2,1481,468.17,473.53,485.17,328.44,311.72,323.19,0.633512817,3.03E-51,3.03E-51,*
TP53I11,3190,68.54,80.01,75.75,40.69,41.56,41.27,0.973212537,1.35E-51,1.35E-51,*
CCDC80,12265,54.09,48.3,50.56,31.91,32.54,31.04,0.746679331,8.86E-52,8.86E-52,*
STOM,3145,182.86,163.37,167.93,105.17,101.16,105.68,0.788191239,3.96E-54,3.96E-54,*
TNS3,6203,62.95,62.27,62.33,43.23,44.08,45.65,0.706259151,1.72E-56,1.72E-56,*
COL1A2,5071,1633.12,1631.21,1680.43,1053.41,1127.29,1007.11,0.700875916,4.25E-57,4.25E-57,*
CPA4,2790,44.47,44.42,44.41,22.16,22.42,21.42,1.081104593,9.96E-58,9.96E-58,Up
RELN,10849,8.26,7.92,8.02,3.3,3.83,3.31,1.322443191,1.14E-58,1.14E-58,Up
ITGA11,10205,12.31,12.71,12.24,6.16,5.77,5.38,1.173486987,3.55E-60,3.55E-60,Up
OLFML2A,6252,6.35,6.42,6.38,1.49,1.62,1.87,2.041635886,3.35E-60,3.35E-60,Up
SLC20A2,3999,59.14,58.92,59.26,34.43,33.91,33.36,0.842282242,1.45E-60,1.45E-60,*
SCD,5245,42.36,39.24,40.19,22.37,22.32,22.35,0.929219874,5.38E-62,5.38E-62,*
DAB2,4341,97.4,91.83,93.29,53.47,54.54,56.71,0.846289018,9.10E-69,9.10E-69,*
RPS6KA2,5794,18.83,19.13,19.73,7.66,7.77,8.6,1.332186408,1.44E-69,1.44E-69,Up
C1S,2746,91.75,85.99,88.7,42.04,46.62,41.54,1.100882016,4.77E-70,4.77E-70,Up
LAMA4,5530,32.81,27.39,27.29,11.22,9.67,13.18,1.394028127,9.47E-71,9.47E-71,Up
MYLK,7213,111.32,101.16,104.97,55.49,58.3,62.7,0.953025242,5.87E-76,5.87E-76,*
PTX3,1884,51.03,40.98,46.7,12.28,11.56,13.39,1.966028792,4.15E-76,4.15E-76,Up
RGCC,958,85.01,93.41,93.88,25.62,25.51,26.85,1.867902196,2.17E-77,2.17E-77,Up
MEST,2551,41.9,40.47,41.9,15.08,16.57,16.43,1.455228783,3.92E-79,3.92E-79,Up
CLDN11,2758,49.66,55.71,50.82,20.03,20.74,20.82,1.407086513,3.53E-80,3.53E-80,Up
F3,2289,290.2,250.61,278.4,132.74,132.61,139.91,1.08180388,2.22E-83,2.22E-83,Up
CLU,2749,130.34,144.98,142.69,68.64,68.36,65.35,1.114202235,1.83E-87,1.83E-87,Up
C1R,2488,48.16,48.4,49.38,18.57,18.98,17.96,1.461636088,2.78E-91,2.78E-91,Up
C1R-2,2488,48.16,48.4,49.38,18.57,18.98,17.96,1.461636088,2.78E-91,2.78E-91,Up
WARS1,2630,113.52,114.56,111.01,58.28,58.3,57.99,1.044744836,7.18E-99,7.18E-99,Up
NNMT,2012,54.15,53.54,54.59,16.15,17.04,16.57,1.773359664,2.36E-112,2.36E-112,Up
DENND2A,3933,20.78,24.17,22.71,5.34,5.26,4.82,2.200624059,2.57E-114,2.57E-114,Up
QSOX1,3108,486.37,518.02,498.59,261.11,279.83,265.38,0.957967626,4.37E-118,4.37E-118,*
CTSC,2473,355.87,349.96,349.52,212.52,202.91,206.62,0.92805763,1.11E-123,1.11E-123,*
MASP1-2,3768,17.12,17.98,17.08,2.63,2.42,2.83,2.79270984,7.70E-132,7.70E-132,Up
HEG1,9435,46.25,42.69,43.15,18.69,19.49,19.72,1.26286922,5.62E-133,5.62E-133,Up
DCN,6799,231.39,208.17,205.15,83.86,79.01,89.5,1.4205414,2.95E-146,2.95E-146,Up
MASP1,2823,29.1,31.41,29.69,5.59,5.16,6.27,2.485426175,5.65E-152,5.65E-152,Up
ADAMTS8,3628,12.84,15.2,14.87,0.84,0.88,0.72,4.196629735,6.31E-153,6.31E-153,Up
COL3A1-2,5490,301.31,282.73,296.18,134.01,144.19,136.63,1.152810638,5.70E-156,5.70E-156,Up
TNC,8191,54.76,53.88,54.32,20.98,22.11,20.21,1.425361729,1.70E-176,1.70E-176,Up
LBH,2920,304.03,302.37,305.3,131.23,134.91,123.91,1.290856595,1.31E-187,1.31E-187,Up
FBN2,10914,112.01,101.72,108.9,35.45,36.94,34.43,1.662555232,1.25E-269,1.25E-269,Up
SVEP1,12205,25.74,23.62,23.48,5.25,5.63,5.08,2.257524087,6.75E-280,6.75E-280,Up
CEMIP,7258,248.45,248.53,246.09,60.8,64.2,62.15,2.057095878,0,0,Up
EPAS1,5158,161.02,157.95,158.07,55.73,55.89,56.77,1.570214564,0,0,Up
IGFBP5,6239,847.94,793.6,814.6,261.93,277.34,274.2,1.661761683,0,0,Up
