"GeneID","Con_1","Con_2","Con_3","DMEM_1","DMEM_2","DMEM_3","I6_1","I6_2","I6_3","R2_1","R2_2","R2_3","logFC","Pvalue","FDR"
"FAM201A",3.35,3.21,3.21,3.37,3.37,3.65,2.77,2.77,2.67,2.91,3.34,3.16,0.045508754,0.88035739,0.88035739
"SLC66A3",6.17,6.17,6.17,7.4,7.4,7.4,5.62,5.37,5.37,5.71,5.85,5.71,-0.192968921,0.348080755,0.348080755
"RNF2",4.56,4.56,4.56,6.47,6.47,6.47,6.87,6.87,6.87,5.7,5.74,5.74,-0.457131568,0.001560923,0.001560923
"LMOD2",0,0,0,0.02,0.02,0.02,0,0,0,0.01,0.01,0.01,-0.754813962,0.838575377,0.838575377
"TNFRSF18",0.06,0.13,0.13,0.12,0.12,0.06,0,0,0,0.12,0.12,0.12,0.86638185,0.552407637,0.552407637
"AHCYL2",4.11,3.83,4.35,4.99,5.1,5.1,5.18,4.98,4.78,5.58,5.27,5.38,-0.255616916,0.06032843,0.06032843
"MS4A4A",0,0,0,0,0,0,0.04,0.04,0.08,0,0,0,0.175425378,0.965708363,0.965708363
"AKR1B10",1.12,1.12,2.74,1.11,1.11,1.11,1.04,1.15,1.15,2.68,2.83,2.68,0.140627691,0.854671008,0.854671008
"PARD3",10.52,10.52,10.69,14.58,15.27,13.58,16.5,16.35,16.35,14.26,13.22,13.65,-0.356925867,0.000500244,0.000500244
"CUL4A",27.43,27.43,26.85,28.5,27.7,27.22,26.17,26.34,26.34,27.62,28.12,27.62,-0.177916426,0.020694003,0.020694003
"FAM171A2",3.28,3.13,3.13,1.87,2.09,1.96,1.64,1.6,1.64,2.08,1.7,1.82,0.652668343,0.008004937,0.008004937
"PCDHGC4",0,0,0,0.02,0.04,0.02,0.02,0.02,0.02,0,0,0,1.400711611,0.606034333,0.606034333
"KLRC3",0.33,0.33,0.29,0.79,0.56,1.08,0.47,0.47,0.77,0.26,0.48,0.26,-0.963445456,0.257555486,0.257555486
"MOCS3",3.52,3.45,3.52,3.46,3.85,3.15,3.99,3.72,3.45,3.64,4.23,3.95,0.164704753,0.320216988,0.320216988
"STMN1",391.59,432.07,407.72,444.48,444.53,444.53,436.98,432.54,429.34,451.09,451.09,448.36,-0.029953941,0.465526565,0.465526565
"TMCC1",5.03,5.78,4.35,6.2,5.55,6.88,6.02,5.58,4.89,4.67,5.43,5.18,-0.243399525,0.123262705,0.123262705
"ZNF45",4.12,4.45,3.86,6.25,5.86,6.66,5.94,6.05,6.3,5.03,5.03,5.01,-0.513376802,0.000191835,0.000191835
"NOPCHAP1",19.72,18.63,19.72,16.99,16.99,16.97,17.78,18.52,20.05,21.51,21.51,21.92,0.391322196,0.054475979,0.054475979
"UQCRFS1",59.49,58.41,61,54.35,57.21,52,51.55,49.87,49.05,54.47,64.71,59.96,0.210116222,0.00687785,0.00687785
"ZC3HAV1",32.3,34.96,33.4,41.27,40.24,41.87,45.33,45.33,45.58,42.47,41.93,41.93,-0.315114873,2.4e-08,2.4e-08
"PBOV1",0,0,0,0,0,0,0,0,0,0,0,0,3.208475368,0.418455893,0.418455893
"DLK2",4.96,4.54,5.67,3.5,3.5,3.47,4.38,4.44,4.44,4.02,4.02,3.87,0.513047024,0.021500896,0.021500896
"LYPD5",0,0,0,0.02,0.05,0.02,0,0,0,0.02,0.02,0.02,-0.343183026,0.91303902,0.91303902
"MARVELD3",0.02,0.02,0.02,0,0,0,0,0,0,0.11,0.1,0.1,2.929639681,0.461436152,0.461436152
"PEX19",30.08,29.72,28.91,30.41,30.93,29.86,30.89,30.89,30.89,30.19,32.52,31.28,0.038842138,0.582474819,0.582474819
"ELOVL7",2.54,2.82,2.29,3.43,3.02,3.73,3.54,3.74,3.68,3.77,2.76,3.2,-0.335162808,0.058717288,0.058717288
"CDK2AP1",90.49,90.49,90.49,97.68,97.68,97.68,93.72,90.47,88.43,93.38,92.14,93.38,0.031918653,0.634470118,0.634470118
"TMEM132B",0,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0.541363514,0.77174485,0.77174485
"SNHG16",36.23,36.71,36.71,42.73,42.73,42.73,42.94,43.2,42.94,46.6,43.53,44.58,-0.106493997,0.08986986,0.08986986
"IL12B",0.07,0.07,0.1,0.09,0.09,0.09,0,0,0,0,0,0,0.023062345,0.990568703,0.990568703
"NAT16",0.11,0.11,0.17,0.04,0.08,0.04,0.04,0.05,0.05,0.18,0.11,0.11,1.602531614,0.27760957,0.27760957
"TREX1",13.45,9.76,16.81,7.02,7.3,7.3,6.44,9.03,11.2,5.68,10.52,8.57,0.940374812,0.000569553,0.000569553
"MXRA8",14.97,14.97,14.97,12.69,14,12.11,12.43,12.01,11.43,11.94,11.83,11.94,0.282412802,0.029189839,0.029189839
"DYNC1LI2-DT",0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.04,0.07,0.05,0.09,0.780100521,0.649392695,0.649392695
"MEMO1",19.25,19.96,19.25,21.92,22.53,22.23,25.4,23.52,21.08,23.34,23.89,23.34,-0.146937093,0.158107324,0.158107324
"NT5C3A",18.67,21.05,17.24,24.28,22.41,25.45,23.03,23.03,22.85,24.18,19.02,21.33,-0.252980748,0.027100912,0.027100912
"ZC3HC1",15.02,14.98,15.02,17.21,16.87,17.45,14.73,15.58,17.06,20.82,16.96,18.67,-0.073468752,0.53339366,0.53339366
"RAPH1",6.77,8.62,7.94,14.01,12.93,14.81,14.21,14.31,14.21,11.02,9.9,10.34,-0.701067753,4.09e-14,4.09e-14
"BOLA1",5.08,4.14,7.08,3.17,2.93,3.62,5.75,3.62,2.18,5.07,4.14,4.54,0.838683784,0.026922987,0.026922987
"ADCK1",0.67,0.67,0.63,0.45,0.45,0.45,0.63,0.65,0.6,0.41,0.45,0.45,0.793162455,0.056100605,0.056100605
