KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko00515,Mannose type O-glycan biosynthesis,-0.413983099,-1.155210153,0.268041237,0.456673636,1,5月20日,11.95%,B4GAT1;LARGE1;FKRP;POMGNT2;POMT1
ko00051,Fructose and mannose metabolism,-0.376965616,-1.154736095,0.235457064,0.449370025,1,8/32,9.05%,HK1;AKR1B1;FPGT;PFKFB3;HKDC1;PFKFB2;ALDOC;SORD
ko04371,Apelin signaling pathway,-0.304080152,-1.15431967,0.185534591,0.442094587,1,14/116,5.97%,CCN2;ACTA2;JAG1;ADCY9;HDAC4;MYLK;SMAD3;MYL3;ITPR1;LIPE;PRKAG2;EGR1;MTOR;MRAS
ko04320,Dorso-ventral axis formation,0.408618488,1.153230687,0.274542429,0.514154392,1,15/27,33.84%,EGFR;CPEB1;SOS2;NOTCH4-2;ETS1;SPIRE1;BRAF;MAP2K1;NOTCH2;NOTCH2NLR-2;NOTCH2NLR;CPEB4;CPEB2;CPEB1-2;KRAS
ko04666,Fc gamma R-mediated phagocytosis,0.33325205,1.149252656,0.237313433,0.515096423,1,15/85,10.31%,RAC2;ARPC2;MYO10;SPHK1;ARPC5L;ASAP2;ARPC1B;PLA2G4A;MARCKSL1;CFL2;VAV2;PAK1;ARPC1A;ACTR2;CRK-2
ko04923,Regulation of lipolysis in adipocytes,-0.350577768,-1.1419043,0.269972452,0.458532128,1,8/43,7.78%,ADCY9;PTGS1;IRS1;IRS2;LIPE;PIK3CD;ADCY3;AQP7
ko04926,Relaxin signaling pathway,-0.30588046,-1.139355114,0.225806452,0.455339006,1,25/114,13.01%,COL3A1-2;ACTA2;COL4A5;ADCY9;COL4A1;VEGFA;COL1A2;ARRB1;PIK3CD;SHC3;COL4A2;MAPK14;EDNRB;ADCY3;GNB5;ATF6B;GNB3;COL4A6;GRB2;CREB3L1;MMP2;NFKB1;AKT3-2;GNG4;PRKCA
ko04650,Natural killer cell mediated cytotoxicity,-0.301392513,-1.135991729,0.23030303,0.454274744,1,26/115,13.54%,HLA-E-3;ICAM1;HLA-C;MICB-5;PLCG1;PIK3CD;ULBP2;SHC3;HLA-A-7;LOC124901580;HLA-E-7;HLA-E-6;HLA-E-2;IFNAR2;MICB-2;HLA-F-4;HLA-F-5;FYN;HLA-C-3;GRB2;HLA-E-4;PRKCA;HLA-B-2;HLA-B-4;HLA-F-3;HLA-A-3
ko04140,Autophagy - animal,-0.287337094,-1.134560229,0.208191126,0.44926684,1,41/144,18.91%,GABARAPL1;ULK2;IGF1R;SMCR8;SMCR8-2;IRS1;IRS2;ITPR1;VAMP8;PIK3CD;SQSTM1;SQSTM1-2;MTOR;MTMR3;DAPK3;MRAS;CTSL;RUBCN;ATG16L1-2;CTSB-2;CTSB;PRKCQ;STX17;AMBRA1;TSC1;AKT3-2;DAPK1;TSC2;ATG10;TBK1;RAB7B;RAF1;IGBP1;C9orf72;TANK;RHEB;MTMR4;ATG16L1;CFLAR;DEPTOR;ZFYVE1
ko04261,Adrenergic signaling in cardiomyocytes,0.307130462,1.128791206,0.240601504,0.559411074,1,27/123,15.82%,MAPK13;CREB3L2;ATP2B1;PPP2R3A;SCN1B;ATP2B4;PLCB3;TPM3;PPP2CA;GNAI3;CALM1;PPP2R3C;PPP2R5E;PPP1CA;PLCB1;CACNB4;PRKACB;ADRA1D;ATP1B1;PPP2R5D;ATF6B-3;PPP1CC;PRKACA;CAMK2B;RPS6KA5;SCN5A;ATF6B-2
ko04640,Hematopoietic cell lineage,-0.327178646,-1.126066014,0.249221184,0.458190665,1,15/60,10.12%,CSF1;ITGB3;GP1BA;IL6R;IL6;HLA-DMA-4;IL7R;CD4;IL1R1;CD55;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;HLA-DPB1-3
ko04072,Phospholipase D signaling pathway,-0.284524542,-1.119139648,0.2,0.464790427,1,35/127,18.55%,PLPP3;PDGFRB;AGPAT3;ADCY9;CYTH3;PIP5K1A;PLCG1;PIK3CD;PDGFD;MTOR;SHC3;MRAS;ADCY3;ARL17A-2;DNM3;PIP5K1C;FYN;PDGFA;GRB2;TSC1;AKT3-2;AGPAT4;PRKCA;TSC2;GAB2;LPAR4;ARL17A;RALGDS;CYTH1;RAF1;ADCY6;PLPP1;RHEB;PDGFB;AGPAT2
ko04961,Endocrine and other factor-regulated calcium reabsorption,0.361733168,1.116808167,0.313213703,0.581580675,1,11/40,14.41%,ATP2B1;ATP2B4;CLTC;PLCB3;PTH1R;PLCB1;PRKACB;RAB11A;ATP1B1;ESR1;PRKACA
ko04658,Th1 and Th2 cell differentiation,-0.301308583,-1.112981741,0.23100304,0.469671644,1,22/87,11.90%,JAG1;STAT6;STAT1;PLCG1;HLA-DMA-4;IL12RB2;MAPK14;STAT5B;CD4;STAT5A;IL12A;DLL1;DLL1-2;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;PRKCQ;HLA-DPB1-3;STAT4;JAK3;NFKB1
ko04917,Prolactin signaling pathway,-0.317871017,-1.112117399,0.28189911,0.464290554,1,14/65,12.56%,STAT3;SOCS3;IRF1;STAT1;PIK3CD;SHC3;MAPK14;STAT5B;STAT5A;SOCS7;SOCS1;GRB2;NFKB1;AKT3-2
ko04520,Adherens junction,0.318662279,1.111231098,0.280542986,0.586142862,1,18/80,12.21%,RAC2;IQGAP1;TCF7;CSNK2B;CSNK2B-4;CSNK2B-2;CSNK2B-3;TUG1;BAIAP2;CSNK2A2;MET;SSX2IP;AFDN;EGFR;TJP1;TCF7L2;CSNK2A1;SNAI2
ko04721,Synaptic vesicle cycle,0.333734758,1.107890901,0.304216867,0.584723765,1,20/67,19.15%,CLTC;SYT1;ATP6V0B;ATP6V1G2-4;ATP6V1G2-3;ATP6V1G2-5;ATP6V1G2-6;ATP6V1G2-7;ATP6V1G2;ATP6V0A1;ATP6V1B1;SLC6A9;LRRC37A2;STX1A;RIMS1;UNC13B;ATP6V1D;AP2S1;NSF;NSF-3
ko04662,B cell receptor signaling pathway,0.330138357,1.106609975,0.295839753,0.577651573,1,10/66,9.95%,RAC2;NFKBIA;ZNF518A;CD22;NFKBIE;VAV2;RASGRP3;NFATC2;SOS2;NRAS
ko04971,Gastric acid secretion,-0.336615217,-1.106167087,0.284574468,0.469250306,1,18/51,20.22%,ADCY9;MYLK;ITPR1;ACTG1-2;ACTG1;ATP1B3;KCNJ2;ACTB;ADCY3;ATP1A1;PRKCA;MYLK3;CAMK2G;SLC4A2;ADCY6;CFTR;ATP1B2;CALML4
ko00600,Sphingolipid metabolism,-0.330092791,-1.106156225,0.278514589,0.462268131,1,9/51,6.49%,PLPP3;CERS2;NEU1-8;NEU1-6;NEU1-2;GBA1;PSAP;UGCG;NEU3
ko04068,FoxO signaling pathway,-0.286169012,-1.104650037,0.225490196,0.458571685,1,16/122,6.47%,STAT3;GABARAPL1;IGF1R;TGFB2;IRS1;IRS2;CREBBP;SMAD3;PIK3CD;IL6;SGK1;PRKAG2;PLK2;CDKN2B;IL7R;MAPK14
ko04915,Estrogen signaling pathway,0.300996386,1.102749357,0.257871064,0.577822373,1,37/123,24.48%,GABBR2;KRT18;CREB3L2;HSP90AA1;HSP90AB1;HBEGF;KRT19;PLCB3;HSP90B1;KRT15;EGFR;GNAI3;CALM1;PLCB1;SOS2;NRAS;FKBP5;PRKACB;EBAG9;ATF6B-3;ESR1;PRKACA;ATF6B-2;PIK3CB;GABBR1-3;HSPA1B-5;ATF4;HRAS;FOS;HRAS-2;FKBP4;MAP2K1;PIK3R3;SHC4;AKT2;GNAQ;HSPA1L-2
ko00760,Nicotinate and nicotinamide metabolism,-0.351397363,-1.101179849,0.301980198,0.458562449,1,3月31日,4.45%,NNMT;QPRT;BST1
ko04928,"Parathyroid hormone synthesis, secretion and action",0.313017524,1.099790993,0.287878788,0.576137928,1,20/93,16.43%,MMP14;CREB3L2;MEF2C;HBEGF;MMP16;MEF2D-2;NACA;PLCB3;EGFR;PTH1R;ARAF;GNAI3;PLCB1;RUNX2;PRKACB;ATF6B-3;PRKACA;RHOA;ATF6B-2;CYP27B1
ko04217,Necroptosis,-0.275412341,-1.0967354,0.23,0.46036953,1,17/133,4.25%,STAT3;TNFRSF1A;STAT2;PYCARD;FTH1;IRF9;STAT6;STAT1;TRAF5;CASP1;FTL;IRF9-2;CASP8;SQSTM1;SQSTM1-2;SPATA2;MLKL
ko04330,Notch signaling pathway,-0.3245246,-1.093932153,0.275568182,0.459378955,1,19/61,15.89%,JAG1;DTX4;CREBBP;DVL2;DVL3;PSEN2;NCSTN;NUMBL;DLL1;DLL1-2;DTX3L;DTX3;TLE4;HDAC1;KAT2A;EP300;KAT2B;ATXN1L;LOC124902601
