GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
LOC105370855,0.918290647,0.821944146,0.821944146,*,LOC105370855
LOC105370866,-1.005262704,0.805404059,0.805404059,*,LOC105370866
LOC105370869,-3.183186108,0.33493092,0.33493092,*,LOC105370869
LOC105370871,-0.856876439,0.41853071,0.41853071,*,LOC105370871
LOC105370886,1.405081449,0.699395655,0.699395655,*,LOC105370886
LOC105370910,-2.182906966,0.070580745,0.070580745,*,LOC105370910
LOC105370917,0.792320084,0.844644818,0.844644818,*,LOC105370917
LOC105370918,1.906993865,0.636057473,0.636057473,*,LOC105370918
LOC105370924,0.918290647,0.821944146,0.821944146,*,LOC105370924
LOC105370939,-1.807681373,0.452505876,0.452505876,*,LOC105370939
LOC105370941,-0.756022646,0.58001048,0.58001048,*,LOC105370941
LOC105370943,-0.074021084,0.973087519,0.973087519,*,LOC105370943
LOC105370946,0.918290647,0.821944146,0.821944146,*,LOC105370946
LOC105370948,2.453699659,0.535980362,0.535980362,*,LOC105370948
LOC105370960,-1.935339541,0.487489499,0.487489499,*,LOC105370960
LOC105370973,2.912882781,0.452670655,0.452670655,*,LOC105370973
LOC105370997,-0.043482025,0.991497804,0.991497804,*,LOC105370997
LOC105370998,1.7826395,0.659091782,0.659091782,*,LOC105370998
LOC105371017,-2.037782064,0.533952884,0.533952884,*,LOC105371017
LOC105371024,3.943828174,0.141926584,0.141926584,*,LOC105371024
LOC105371026,0.229856445,0.835941754,0.835941754,*,LOC105371026
LOC105371038,0.918290647,0.821944146,0.821944146,*,LOC105371038
LOC105371050,-0.906797907,0.434733665,0.434733665,*,LOC105371050
LOC105371055,-2.88410727,0.373732536,0.373732536,*,LOC105371055
LOC105371059,1.298856709,0.502015305,0.502015305,*,LOC105371059
LOC105371060,-0.069977112,0.953817609,0.953817609,*,LOC105371060
LOC105371075,1.75409309,0.664418947,0.664418947,*,LOC105371075
LOC105371082,-0.559115023,0.600361744,0.600361744,*,LOC105371082
LOC105371083,1.405081449,0.699395655,0.699395655,*,LOC105371083
LOC105371085,-0.773896398,0.474937509,0.474937509,*,LOC105371085
LOC105371087,1.75409309,0.664418947,0.664418947,*,LOC105371087
LOC105371088,3.33421894,0.33728032,0.33728032,*,LOC105371088
LOC105371090,2.366096007,0.553839929,0.553839929,*,LOC105371090
LOC105371094,-0.383797066,0.859927538,0.859927538,*,LOC105371094
LOC105371094-2,-4.327752376,0.082467221,0.082467221,*,LOC105371094
LOC105371099-2,2.8708806,0.244459283,0.244459283,*,LOC105371099
LOC105371106,-0.88380921,0.776933473,0.776933473,*,LOC105371106
LOC105371129,-1.005262704,0.805404059,0.805404059,*,LOC105371129
LOC105371129-2,-1.005262704,0.805404059,0.805404059,*,LOC105371129
LOC105371131,1.662365228,0.35909098,0.35909098,*,LOC105371131
LOC105371155,-1.996874091,0.620212066,0.620212066,*,LOC105371155
LOC105371159,-1.263056318,0.252456315,0.252456315,*,LOC105371159
LOC105371168,-0.401513597,0.724164807,0.724164807,*,LOC105371168
LOC105371175,0.620831773,0.54952208,0.54952208,*,LOC105371175
LOC105371197,-2.47054258,0.536369342,0.536369342,*,LOC105371197
LOC105371206,-0.129431636,0.88960892,0.88960892,*,LOC105371206
LOC105371207,-1.005262704,0.805404059,0.805404059,*,LOC105371207
LOC105371216,-0.697143262,0.375856,0.375856,*,LOC105371216
LOC105371217,0.820866495,0.839019362,0.839019362,*,LOC105371217
LOC105371223,0.593834392,0.763241641,0.763241641,*,LOC105371223
LOC105371224,-1.098174907,0.270364499,0.270364499,*,LOC105371224
LOC105371225,-0.519089368,0.780720318,0.780720318,*,LOC105371225
LOC105371229,-1.005262704,0.805404059,0.805404059,*,LOC105371229
LOC105371235,-1.005262704,0.805404059,0.805404059,*,LOC105371235
LOC105371240,2.145699346,0.27641584,0.27641584,*,LOC105371240
LOC105371254,-1.189798968,0.250471971,0.250471971,*,LOC105371254
LOC105371271,1.317234141,0.482375874,0.482375874,*,LOC105371271
LOC105371288,3.182335273,0.324448918,0.324448918,*,LOC105371288
LOC105371311,-1.005262704,0.805404059,0.805404059,*,LOC105371311
LOC105371344,1.217969924,0.384388656,0.384388656,*,LOC105371344
LOC105371348,1.531859343,0.668400331,0.668400331,*,LOC105371348
LOC105371372,-2.012293622,0.110380622,0.110380622,*,LOC105371372
LOC105371376,2.453699659,0.535980362,0.535980362,*,LOC105371376
LOC105371378,-0.166397375,0.963093332,0.963093332,*,LOC105371378
LOC105371381,-1.005262704,0.805404059,0.805404059,*,LOC105371381
LOC105371382,-1.382625367,0.61449008,0.61449008,*,LOC105371382
