GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
PSEN2,18.68,17.77,17.71,15.47,16.32,14.68,0.303523991,0.004910109,0.004910109,15.79,16.15,15.76,-0.290342737,0.004309407,0.004309407,18.34,18.36,18.94,0.25023765,0.001507295,0.001507295
SSR4,482.12,394.77,455.99,299.8,294.87,307.6,0.677541735,2.29E-10,2.29E-10,293.84,288.8,297.75,-0.740674889,7.19E-12,7.19E-12,332.44,327.49,333.84,0.3121034,5.86E-10,5.86E-10
MEF2A,3.93,5.59,4.01,6.5,5.74,6.67,-0.422750365,0.003165943,0.003165943,6.17,6.36,6.08,0.411198711,0.001960629,0.001960629,5.57,4.98,5.49,-0.193845669,0.032980499,0.032980499
SOX15,5.06,3.62,4.16,3.54,3.83,3.33,0.360420037,0.208305676,0.208305676,3.85,3.53,3.8,-0.290193494,0.301336533,0.301336533,4.41,4.63,4.09,0.273662631,0.220426963,0.220426963
TMTC1,0.02,0.08,0.05,0.12,0.17,0.11,-1.455233771,0.039421945,0.039421945,0.07,0.09,0.13,0.963445628,0.216430705,0.216430705,0.24,0.08,0.2,0.824884913,0.164397872,0.164397872
NME7,20.36,23.35,19.84,23.33,21.57,24.68,-0.068283814,0.555194809,0.555194809,19.53,20.52,21.95,-0.129527693,0.285188449,0.285188449,23.59,15.63,20.04,-0.055180773,0.716507366,0.716507366
SLC46A1,8.41,7.51,8.3,7.4,7.25,7.37,0.218425682,0.043345901,0.043345901,7.53,7.49,7.87,-0.155763602,0.153632862,0.153632862,8.11,8.77,8.69,0.186149647,0.010542253,0.010542253
TLL1,0.01,0.03,0.01,0.02,0.02,0,1.88879143,0.357148694,0.357148694,0.03,0.05,0.07,1.430319542,0.247569553,0.247569553,0.02,0,0.02,-2.295510238,0.085174385,0.085174385
NKIRAS1,6.09,5.5,5.99,6.73,6.23,7.83,-0.256389814,0.037759474,0.037759474,6.87,7.19,7.23,0.177876385,0.135400989,0.135400989,6.92,6.64,6.61,-0.102068051,0.318927045,0.318927045
TMOD3,14.21,17.68,12.87,23.42,21.64,24.88,-0.566512479,2.66E-07,2.66E-07,21.78,21.5,21.31,0.46066557,3.78E-06,3.78E-06,20.59,14.83,17.52,-0.265030159,0.009944447,0.009944447
HYAL1,0.07,0.33,0.1,0.07,0.07,0.05,1.277402108,0.286632787,0.286632787,0.19,0.19,0.06,-0.811889017,0.477666736,0.477666736,0.05,0.19,0.07,-0.424602103,0.732387879,0.732387879
FOXL1,0.02,0,0,0,0,0,2.04605018,0.612272264,0.612272264,0,0,0,-2.025303345,0.61588933,0.61588933,0,0,0,0,0,0
ZNF354C,0.96,1.76,1,2.16,1.95,2.34,-0.720529522,0.005283564,0.005283564,1.77,1.8,1.72,0.445425254,0.084052735,0.084052735,1.42,1.16,1.17,-0.479228831,0.004621944,0.004621944
PARD6A,9.35,6.71,7.87,5.68,5.69,5.47,0.600459314,0.013666271,0.013666271,4.64,4.83,5.04,-0.816150133,0.001102499,0.001102499,6,5.47,6.44,0.357963927,0.081784989,0.081784989
ITPK1,25.58,23.21,26.88,22.27,22.52,22.65,0.223010583,0.027186297,0.027186297,21.5,19.17,19,-0.420196778,0.000187918,0.000187918,22.39,21.86,22.37,0.199813928,0.005079032,0.005079032
